epoch,step,train_discriminator_accuracy,train_discriminator_loss,train_generator_loss,validation_discriminator_accuracy,validation_discriminator_loss,validation_generator_loss
83,1847,,,,0.7142857142857143,1.317049503326416,0.7001937031745911
84,1849,0.71875,1.275588035583496,0.8332943320274353,,,
84,1869,,,,0.5285714285714286,1.3680518865585327,0.8559644818305969
85,1891,,,,0.5571428571428572,1.3616433143615723,0.686989963054657
86,1899,0.5625,1.3988218307495117,0.7215283513069153,,,
86,1913,,,,0.6,1.3360241651535034,0.8693208694458008
87,1935,,,,0.6714285714285714,1.2886770963668823,0.6825746893882751
88,1949,0.8125,1.238623857498169,0.8109452128410339,,,
88,1957,,,,0.5285714285714286,1.4245717525482178,0.7960925102233887
89,1979,,,,0.5857142857142857,1.3400083780288696,0.7477360367774963
90,1999,0.5,1.3454501628875732,0.7651508450508118,,,
90,2001,,,,0.7857142857142857,1.299988865852356,0.7670882344245911
91,2023,,,,0.5,1.598457932472229,1.4204679727554321
92,2045,,,,0.5571428571428572,1.3690212965011597,0.7316669225692749
93,2049,0.53125,1.3352264165878296,0.707819938659668,,,
93,2067,,,,0.7142857142857143,1.3076685667037964,0.7671285271644592
94,2089,,,,0.5142857142857142,1.3181368112564087,0.687089204788208
95,2099,0.6875,1.272749662399292,0.5914195775985718,,,
95,2111,,,,0.6142857142857143,1.3479533195495605,0.577637791633606
96,2133,,,,0.5,1.6461398601531982,1.4914488792419434
97,2149,0.6875,1.236086368560791,0.8074159026145935,,,
97,2155,,,,0.5142857142857142,1.3618009090423584,0.7297083139419556
98,2177,,,,0.6714285714285714,1.2813488245010376,0.7512711882591248
99,2199,0.5714285714285714,1.3088023662567139,0.748857319355011,,,
99,2199,,,,0.5,1.3261189460754395,0.722118079662323
100,2221,,,,0.5428571428571428,1.3642445802688599,0.770590603351593
101,2243,,,,0.5571428571428572,1.3488801717758179,0.664012610912323
102,2249,0.8125,1.2281310558319092,0.7504785060882568,,,
102,2265,,,,0.5571428571428572,1.3763110637664795,0.7831866145133972
103,2287,,,,0.5714285714285714,1.3110599517822266,0.941192090511322
104,2299,0.5625,1.3287632465362549,0.8661372065544128,,,
104,2309,,,,0.7285714285714285,1.1652101278305054,0.9402796030044556
105,2331,,,,0.7714285714285715,1.2573336362838745,0.7998968958854675
106,2349,0.65625,1.3015143871307373,0.8837993144989014,,,
106,2353,,,,0.6285714285714286,1.2599509954452515,0.9737723469734192
107,2375,,,,0.5571428571428572,1.3320001363754272,0.7839990258216858
108,2397,,,,0.6142857142857143,1.3089648485183716,0.6376649737358093
109,2399,0.65625,1.244201421737671,0.7451176047325134,,,
109,2419,,,,0.7428571428571429,1.2578890323638916,0.705489456653595
110,2441,,,,0.5857142857142857,1.3051499128341675,0.6570836305618286
111,2449,0.6875,1.2995601892471313,0.9168577194213867,,,
111,2463,,,,0.6142857142857143,1.3098552227020264,0.639238178730011
112,2485,,,,0.5714285714285714,1.280353307723999,0.5755439400672913
113,2499,0.6875,1.3061634302139282,0.7137441635131836,,,
113,2507,,,,0.5428571428571428,1.3098758459091187,0.522817075252533
114,2529,,,,0.6571428571428571,1.2902864217758179,0.7711109519004822
115,2549,0.65625,1.1806089878082275,0.772685706615448,,,
115,2551,,,,0.5285714285714286,1.3143848180770874,0.5564940571784973
116,2573,,,,0.7428571428571429,1.2756232023239136,0.7384798526763916
117,2595,,,,0.7285714285714285,1.2750507593154907,0.8343400359153748
118,2599,0.65625,1.2419720888137817,1.1134083271026611,,,
118,2617,,,,0.7571428571428571,1.227692723274231,0.7946938276290894
119,2639,,,,0.9,1.1862363815307617,0.7982916235923767
120,2649,0.65625,1.2932593822479248,0.7667281627655029,,,
120,2661,,,,0.6428571428571429,1.2906941175460815,0.814691424369812
121,2683,,,,0.6428571428571429,1.3263564109802246,0.6646568179130554
122,2699,0.65625,1.3025401830673218,0.8684535622596741,,,
122,2705,,,,0.6714285714285714,1.302172303199768,0.894071638584137
123,2727,,,,0.7142857142857143,1.2681400775909424,0.7553465366363525
124,2749,0.75,1.2651058435440063,0.7899361252784729,,,
124,2749,,,,0.7285714285714285,1.1641384363174438,0.7750909924507141
125,2771,,,,0.7142857142857143,1.2140899896621704,0.6914803385734558
126,2793,,,,0.5571428571428572,1.2589969635009766,0.508383572101593
127,2799,0.65625,1.276792287826538,0.8454213738441467,,,
127,2815,,,,0.7142857142857143,1.2650458812713623,0.6356141567230225
128,2837,,,,0.5285714285714286,1.2743664979934692,0.5889681577682495
129,2849,0.59375,1.2598786354064941,0.6104038953781128,,,
129,2859,,,,0.7571428571428571,1.2288429737091064,0.8483464121818542
130,2881,,,,0.6428571428571429,1.23212730884552,0.9601260423660278
131,2899,0.65625,1.2557544708251953,0.970362663269043,,,
131,2903,,,,0.5428571428571428,1.2805352210998535,0.9070563316345215
132,2925,,,,0.7,1.2226951122283936,0.7228648662567139
133,2947,,,,0.5,1.322801947593689,0.493537962436676
134,2949,0.71875,1.2880830764770508,0.9276443719863892,,,
134,2969,,,,0.5142857142857142,1.3120142221450806,0.5300938487052917
135,2991,,,,0.6285714285714286,1.2462555170059204,0.968189537525177
136,2999,0.59375,1.297299861907959,0.8281407356262207,,,
136,3013,,,,0.7714285714285715,1.1768414974212646,0.7993516325950623
137,3035,,,,0.5285714285714286,1.3378665447235107,0.6689125895500183
138,3049,0.5,1.7932450771331787,0.9004966020584106,,,
138,3057,,,,0.5285714285714286,1.2999199628829956,0.5060968399047852
139,3079,,,,0.8428571428571429,1.1542913913726807,0.7829334139823914
140,3099,0.75,1.2454437017440796,0.7482377290725708,,,
140,3101,,,,0.6714285714285714,1.2379029989242554,0.6562954187393188
141,3123,,,,0.6857142857142857,1.2868739366531372,0.9343582987785339
142,3145,,,,0.5,1.3303041458129883,0.5021459460258484
143,3149,0.84375,1.13711416721344,0.7886717915534973,,,
143,3167,,,,0.6571428571428571,1.2646371126174927,0.7012453675270081
144,3189,,,,0.7,1.1979494094848633,0.6810535788536072
145,3199,0.625,1.261716365814209,0.8717538118362427,,,
145,3211,,,,0.5142857142857142,1.2965518236160278,0.5666264295578003
146,3233,,,,0.6142857142857143,1.2458313703536987,0.9376420378684998
147,3249,0.875,1.0457998514175415,0.8253234624862671,,,
147,3255,,,,0.7714285714285715,1.1238946914672852,0.8368837833404541
148,3277,,,,0.7142857142857143,1.1283427476882935,0.7139721512794495
