epoch,knn_accuracy,step,train_discriminator_loss,train_generator_loss,validation_discriminator_loss,validation_generator_loss
4,,2249,3.9956808905117214e-05,1.0001074075698853,,
4,,2299,0.0001300255098612979,0.9849962592124939,,
4,0.596416175365448,2299,,,0.565424919128418,0.09496910125017166
5,,2349,6.448940257541835e-05,1.0029895305633545,,
5,,2399,0.0019550512079149485,1.0603519678115845,,
5,,2449,0.00032937797368504107,0.9988223314285278,,
5,,2499,0.00021109532099217176,0.9993987083435059,,
5,,2549,0.0004556116764433682,1.0219988822937012,,
5,,2599,0.0005508860340341926,1.0101020336151123,,
5,,2649,0.0013215441722422838,0.9800599813461304,,
5,,2699,0.0002516132954042405,0.9932689666748047,,
5,,2749,0.24373291432857513,0.6038135886192322,,
5,0.5703158378601074,2759,,,0.40174102783203125,0.27662065625190735
6,,2799,0.002299001906067133,1.0074176788330078,,
6,,2849,0.002666870830580592,1.02101469039917,,
6,,2899,0.0015959787415340543,1.0758345127105713,,
6,,2949,0.0011239312589168549,1.0610442161560059,,
6,,2999,0.0026243580505251884,0.9754014611244202,,
6,,3049,0.0030042557045817375,0.9868096113204956,,
6,,3099,0.005603483412414789,0.9203498363494873,,
6,,3149,0.00631849467754364,0.9504640102386475,,
6,,3199,0.005426425952464342,0.999491274356842,,
6,0.5802343487739563,3219,,,0.6769315004348755,0.2165999412536621
7,,3249,0.003950628452003002,0.9669056534767151,,
7,,3299,0.009510338306427002,1.0807563066482544,,
7,,3349,0.11534518748521805,1.032641887664795,,
7,,3399,0.007214380893856287,0.9853328466415405,,
7,,3449,0.020212648436427116,1.1598416566848755,,
7,,3499,0.16430339217185974,0.69491046667099,,
7,,3549,0.005612356122583151,0.971443235874176,,
7,,3599,0.04052838683128357,0.9144015312194824,,
7,,3649,0.028551962226629257,0.9481416940689087,,
7,0.560553252696991,3679,,,0.3628919720649719,0.6111907958984375
8,,3699,0.3454105257987976,1.1026220321655273,,
8,,3749,0.043617259711027145,1.0176682472229004,,
8,,3799,0.040495917201042175,1.0855693817138672,,
8,,3849,0.2649901211261749,1.449141502380371,,
8,,3899,0.10550624132156372,1.0202504396438599,,
8,,3949,0.012100580148398876,1.1894910335540771,,
8,,3999,0.06378868222236633,0.987545371055603,,
8,,4049,0.11851893365383148,1.6157851219177246,,
8,,4099,0.1469576060771942,1.0375804901123047,,
8,0.5311920642852783,4139,,,0.35802745819091797,0.6388790011405945
9,,4149,0.4986371099948883,1.2593576908111572,,
9,,4199,0.08678803592920303,1.2971692085266113,,
9,,4249,0.22888733446598053,2.2036023139953613,,
9,,4299,0.09647850692272186,0.9127287268638611,,
9,,4349,0.06280036270618439,1.0467839241027832,,
9,,4399,0.042449090629816055,1.434860348701477,,
9,,4449,0.03562110289931297,1.062210202217102,,
9,,4499,0.06525218486785889,1.6446685791015625,,
9,,4549,0.09277990460395813,1.1002438068389893,,
9,,4599,0.10511839389801025,1.338840365409851,,
9,0.506029486656189,4599,,,0.357023149728775,0.7097771167755127
10,,4649,0.04803856462240219,1.1924030780792236,,
10,,4699,0.061811819672584534,1.0559892654418945,,
10,,4749,0.14383487403392792,1.5221946239471436,,
10,,4799,0.05358060449361801,1.0889089107513428,,
10,,4849,0.37303775548934937,1.014905333518982,,
10,,4899,0.12860408425331116,1.3179727792739868,,
10,,4949,0.12047470360994339,0.9235098361968994,,
10,,4999,0.1297965794801712,1.410057783126831,,
10,,5049,0.1205979436635971,1.465150237083435,,
10,0.4993652105331421,5059,,,0.3021097779273987,0.7543144226074219
11,,5099,0.12017703801393509,1.2731220722198486,,
11,,5149,0.12404608726501465,1.2651355266571045,,
11,,5199,0.16715091466903687,1.0874652862548828,,
11,,5249,0.16334468126296997,1.0264885425567627,,
