epoch,step,train_discriminator_loss,train_generator_loss,validation_discriminator_accuracy,validation_discriminator_loss,validation_generator_loss
22,10579,,,0.5904580671469349,1.3507158756256104,0.782402753829956
23,10599,1.2412160634994507,0.6939076781272888,,,
23,10649,1.1587276458740234,0.9196594953536987,,,
23,10699,1.2991232872009277,0.8234490752220154,,,
23,10749,1.2258718013763428,0.907982349395752,,,
23,10799,1.3437857627868652,0.8866562843322754,,,
23,10849,1.3170645236968994,0.7110719680786133,,,
23,10899,1.1015839576721191,0.9805735945701599,,,
23,10949,1.396186351776123,0.6715320944786072,,,
23,10999,1.2432432174682617,0.8760316967964172,,,
23,11039,,,0.7510534185129808,1.320089340209961,0.7963759899139404
24,11049,1.0690720081329346,0.8544479608535767,,,
24,11099,1.1243375539779663,0.9781302213668823,,,
24,11149,1.2211720943450928,0.8131495714187622,,,
24,11199,1.1107006072998047,1.122727870941162,,,
24,11249,1.1821773052215576,0.8958159685134888,,,
24,11299,1.3095791339874268,0.9121580123901367,,,
24,11349,1.0250662565231323,0.7571244835853577,,,
24,11399,0.932092010974884,1.0948221683502197,,,
24,11449,1.4062678813934326,0.6788740158081055,,,
24,11499,1.147381067276001,0.7253080010414124,,,
24,11499,,,0.4361152643740655,1.434483528137207,0.5799475908279419
25,11549,1.2309682369232178,0.7232311964035034,,,
25,11599,1.1791558265686035,0.8779774904251099,,,
25,11649,1.1462233066558838,0.8277321457862854,,,
25,11699,1.0527544021606445,0.864059329032898,,,
25,11749,1.18986177444458,1.0439496040344238,,,
25,11799,1.167069673538208,0.8055782318115234,,,
25,11849,1.1802932024002075,0.9801601767539978,,,
25,11899,1.1605960130691528,1.0569273233413696,,,
25,11949,1.2606356143951416,0.772484302520752,,,
25,11959,,,0.5811472067418785,1.3325275182724,0.8218206763267517
26,11999,1.2994681596755981,0.8073332905769348,,,
26,12049,1.2394559383392334,0.7040663957595825,,,
26,12099,1.148275375366211,0.9276003241539001,,,
26,12149,1.3448444604873657,0.7544208765029907,,,
26,12199,1.2110424041748047,0.7862628698348999,,,
26,12249,0.8545880317687988,1.1576638221740723,,,
26,12299,1.2731094360351562,0.7820628881454468,,,
26,12349,1.1167821884155273,0.9828659296035767,,,
26,12399,1.0328353643417358,0.9487919807434082,,,
26,12419,,,0.4902134022019845,1.403732419013977,0.614463746547699
27,12449,1.026486873626709,0.9861244559288025,,,
27,12499,1.1950161457061768,0.7923851609230042,,,
27,12549,1.0742275714874268,1.047591209411621,,,
27,12599,1.1434820890426636,0.7475367784500122,,,
27,12649,1.1340107917785645,0.7723120450973511,,,
27,12699,0.7365992665290833,1.2338151931762695,,,
27,12749,0.9170427322387695,0.9827185273170471,,,
27,12799,0.9686383008956909,1.2601934671401978,,,
27,12849,0.967150866985321,0.9168179035186768,,,
27,12879,,,0.7356259344841647,1.2125834226608276,0.8316814303398132
28,12899,0.9095221161842346,0.9865199327468872,,,
28,12949,1.136165976524353,0.8186261653900146,,,
28,12999,1.2108290195465088,0.9430588483810425,,,
28,13049,1.161935567855835,0.7313281297683716,,,
28,13099,1.3029942512512207,0.8344566822052002,,,
28,13149,1.191272258758545,0.8425965309143066,,,
28,13199,1.161831259727478,0.7030856609344482,,,
28,13249,1.093351125717163,0.8589498996734619,,,
28,13299,1.2311592102050781,0.9782146215438843,,,
28,13339,,,0.6837025961669159,1.2851201295852661,0.7291443943977356
29,13349,1.0710499286651611,0.9250917434692383,,,
29,13399,0.9568542242050171,1.012195348739624,,,
29,13449,1.149527907371521,0.757516622543335,,,
29,13499,0.932128369808197,1.1150662899017334,,,
29,13549,1.121799349784851,1.209578514099121,,,
29,13599,1.0224783420562744,0.8210523128509521,,,
29,13649,1.1878913640975952,0.8856374621391296,,,
29,13699,0.977177083492279,0.9246854782104492,,,
29,13749,1.0471787452697754,0.9876711368560791,,,
29,13799,1.2495038509368896,0.8215749263763428,,,
29,13799,,,0.6069049884463776,1.334326982498169,0.8768064379692078
30,13849,1.1240153312683105,0.8598415851593018,,,
30,13899,1.047396183013916,0.9144089221954346,,,
30,13949,1.0222020149230957,0.8543499708175659,,,
30,13999,1.0163650512695312,0.9594738483428955,,,
